client_id,note_date,author,note
C-1006,2025-04-22,T. Okafor,"Left the hospital in March, consulting now through her own LLC. We have not set up estimates for her yet."
C-1007,2025-09-04,T. Okafor,No projection run for 2025 yet — client hasn't sent anything since March.
C-1009,2025-06-02,M. Alderete,"Filing separately again this year — ongoing divorce, do not discuss with spouse."
C-1010,2025-04-10,M. Alderete,Applied the 2024 overpayment forward per client request rather than refunding.
C-1012,2025-09-26,D. Reyes,"Earned essentially nothing Jan-Aug — took the first half of the year off. Signed a large contract in September, the bulk of it invoices in Nov and Dec."
C-1013,2025-09-17,D. Reyes,Practice had a very strong year. Vouchers have not been revised since March.
C-1016,2025-05-30,M. Alderete,Disengagement letter sent 5/28. Do not contact.
C-1019,2025-09-22,D. Reyes,"Three voicemails, no callback. Vouchers were mailed in March."
C-1020,2025-08-14,T. Okafor,Business took off this year after two flat years. Big swing.
C-1022,2025-09-19,D. Reyes,"Contractor, no W-2. Missed Q2 and Q3 — said cash flow was tight."
C-1023,2025-07-11,D. Reyes,Sold the Glendale duplex in June. Escrow docs are in the client folder. Has not asked us about the tax on it.
C-1024,2025-09-30,M. Alderete,Still waiting on the K-1 from the Redhawk partnership. 2024 return goes out as soon as it lands. Figures below are off the extension worksheet.
C-1030,2025-08-21,T. Okafor,Vouchers were set off the 2024 return. Income is well up this year.
C-1033,2025-02-19,M. Alderete,"New client, moved from out of state. No prior-year return in our system — prior preparer never sent the file."
C-1035,2025-05-01,D. Reyes,"Client called, said he'd catch up in June. Told him to send both quarters."
C-1039,2025-07-07,T. Okafor,Mails checks. They land whenever they land.
C-1040,2025-06-27,T. Okafor,Taxpayer passed 6/14. Working with the surviving spouse and the attorney. Final joint return for 2025.
C-1041,2025-06-09,M. Alderete,"Sold the business in late 2024. This year is consulting income only, much lower. Reduced his Q2 voucher accordingly."
C-1047,2025-09-08,D. Reyes,Spouse RSU vest in Nov will spike income. Client asked what to do about it.
